Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,1 146,694,568,S.R.,0,S.R.,2,S.R.,955
Baja California,3 072,4 690,553,156,S.R.,S.R.,10,9,819
Baja California Sur,427,477,70,S.R.,S.R.,S.R.,2,0,S.R.
Campeche,793,310,118,174,2,18,1,16,0
Coahuila,724,2 052,3 539,214,1,S.R.,1,S.R.,1 099
Colima,547,393,9,S.R.,2,S.R.,5,1,19
Chiapas,3 132,2 035,1 963,852,S.R.,29,162,30,168
Chihuahua,2 670,4 805,640,233,S.R.,S.R.,71,S.R.,2 299
Distrito Federal,6 566,4 298,4 243,25,196,165,209,80,1 016
Durango,738,1 837,2 147,267,0,S.R.,2,S.R.,443
Guanajuato,5 080,3 025,509,50,S.R.,54,73,S.R.,492
Guerrero,4 305,1 874,2 089,101,S.R.,S.R.,82,119,0
Hidalgo,2 661,1 031,673,672,0,57,3,S.R.,13
Jalisco,4 124,7 470,2 219,29,69,9,27,23,5 061
México,15 691,6 663,3 464,129,3 013,S.R.,395,S.R.,4 780
Michoacán,2 617,2 071,1 826,975,S.R.,S.R.,0,6,S.R.
Morelos,1 553,2 984,1 940,26,S.R.,S.R.,10,S.R.,S.R.
Nayarit,619,597,847,219,33,S.R.,0,3,36
Nuevo León,2 065,4 879,374,12,S.R.,44,65,S.R.,2 269
Oaxaca,3 292,1 155,1 284,1 492,61,82,17,18,43
Puebla,3 069,3 788,1 324,1 089,65,46,5,S.R.,728
Querétaro,1 389,968,359,2,38,S.R.,11,S.R.,84
Quintana Roo,1 027,685,209,S.R.,S.R.,S.R.,0,0,0
San Luis Potosí,2 862,2 560,877,898,S.R.,12,53,S.R.,86
Sinaloa,4 714,3 178,367,241,236,5,4,43,653
Sonora,1 530,3 653,548,13,S.R.,S.R.,1,7,130
Tabasco,1 941,1 608,472,S.R.,S.R.,259,80,22,339
Tamaulipas,2 583,2 824,1 972,247,2,175,14,71,46
Tlaxcala,732,820,474,22,79,S.R.,3,S.R.,21
Veracruz,5 221,5 733,2 147,2 009,55,464,228,361,32
Yucatán,924,1 799,580,403,20,S.R.,48,0,101
Zacatecas,1 201,929,155,610,60,S.R.,5,S.R.,134
